ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60610,33,08/15/2021,08/21/2021,66,3940,169,10097.6,2070,91142,5305,233583.6,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-33,POINT (-87.63581 41.90455)
60610,34,08/22/2021,08/28/2021,59,3999,151,10248.9,1835,92977,4703,238286.5,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-34,POINT (-87.63581 41.90455)
60624,15,04/11/2021,04/17/2021,80,3199,221,8847.3,1132,39446,3131,109093.4,0.1,0.1,0,74,0.0,204.7,36158,60624-2021-15,POINT (-87.722735 41.879417)
60624,16,04/18/2021,04/24/2021,71,3270,196,9043.6,1196,40642,3308,112401.1,0.1,0.1,1,75,2.8,207.4,36158,60624-2021-16,POINT (-87.722735 41.879417)
60624,17,04/25/2021,05/01/2021,44,3314,122,9165.3,1093,41735,3023,115424,0.1,0.1,0,75,0.0,207.4,36158,60624-2021-17,POINT (-87.722735 41.879417)
60624,18,05/02/2021,05/08/2021,71,3385,196,9361.7,1214,42949,3358,118781.5,0.1,0.1,1,76,2.8,210.2,36158,60624-2021-18,POINT (-87.722735 41.879417)
60624,19,05/09/2021,05/15/2021,41,3426,113,9475.1,1152,44101,3186,121967.5,0.0,0.1,2,78,5.5,215.7,36158,60624-2021-19,POINT (-87.722735 41.879417)
60624,2,01/10/2021,01/16/2021,73,2669,202,7381.5,978,26574,2705,73494.1,0.1,0.1,1,59,2.8,163.2,36158,60624-2021-2,POINT (-87.722735 41.879417)
60625,50,12/06/2020,12/12/2020,287,4699,362,5929.9,3044,57858,3841,73013.4,0.1,0.1,8,135,10.1,170.4,79243,60625-2020-50,POINT (-87.701816 41.971155)
60625,52,12/20/2020,12/26/2020,188,5133,237,6477.5,2744,63867,3463,80596.4,0.1,0.1,8,149,10.1,188.0,79243,60625-2020-52,POINT (-87.701816 41.971155)
60625,10,03/07/2021,03/13/2021,63,6315,80,7969.2,2515,92373,3174,116569.3,0.0,0.1,0,181,0.0,228.4,79243,60625-2021-10,POINT (-87.701816 41.971155)
